rank,source_url,domain,source_type,curated_priority,final_source_quality_score,external_reference_score,row_count,day_count,tier_label,score_basis,note
17,https://theglobeandmail.com,theglobeandmail.com,company_specific,10800.0,0.65,0.65,7,4,tier_5_7,static_prior_only,
18,https://afr.com,afr.com,general_news,10000.0,0.65,0.65,725,27,tier_5_7,static_prior_only,
19,https://channelnewsasia.com,channelnewsasia.com,general_news,9990.0,0.65,0.65,733,27,tier_5_7,static_prior_only,
20,https://oilprice.com,oilprice.com,commodity_specialist,11000.0,0.65,0.65,538,27,tier_5_7,static_prior_only,
21,https://kitco.com,kitco.com,commodity_specialist,10985.0,0.65,0.65,231,21,tier_5_7,static_prior_only,
22,https://mining.com,mining.com,commodity_specialist,10970.0,0.68,0.68,249,26,tier_5_7,static_prior_only,
23,https://oilandgas360.com,oilandgas360.com,commodity_specialist,10180.0,0.68,0.68,124,23,tier_5_7,static_prior_only,
24,https://hellenicshippingnews.com,hellenicshippingnews.com,general_news,10795.0,0.65,0.65,1187,25,tier_5_7,static_prior_only,
25,https://gcaptain.com,gcaptain.com,general_news,10740.0,0.65,0.65,213,27,tier_5_7,static_prior_only,
26,https://shipandbunker.com,shipandbunker.com,general_news,10735.0,0.65,0.65,175,21,tier_5_7,static_prior_only,
27,https://rigzone.com,rigzone.com,general_news,10715.0,0.65,0.65,185,26,tier_5_7,static_prior_only,
28,https://argusmedia.com,argusmedia.com,general_news,10700.0,0.65,0.65,164,24,tier_5_7,static_prior_only,
29,https://worldoil.com,worldoil.com,general_news,10685.0,0.65,0.65,116,23,tier_5_7,static_prior_only,
30,https://bullionvault.com,bullionvault.com,general_news,10615.0,0.65,0.65,19,19,tier_5_7,static_prior_only,
31,https://nasdaq.com,nasdaq.com,general_news,10600.0,0.65,0.65,6,6,tier_5_7,static_prior_only,Expected exchange/market source
32,https://yahoo.com,yahoo.com,company_specific,10585.0,0.55,0.55,9403,27,tier_5_7,static_prior_only,
33,https://boj.or.jp,boj.or.jp,general_news,9680.0,0.00,0.00,9,6,tier_0_unknown,static_prior_only,"Expected central bank source, currently under-scored"
34,https://caixin.com,caixin.com,general_news,10420.0,0.00,0.00,27,15,tier_0_unknown,static_prior_only,"Expected China macro/markets source, currently under-scored"
35,https://caixinglobal.com,caixinglobal.com,general_news,10410.0,0.00,0.00,1,1,tier_0_unknown,static_prior_only,"Expected China macro/markets source, currently under-scored"
36,https://hkcna.hk,hkcna.hk,general_news,9725.0,0.00,0.00,1620,27,tier_0_unknown,static_prior_only,
37,https://bnnbloomberg.ca,bnnbloomberg.ca,general_news,11369.0,0.00,0.00,687,27,tier_0_unknown,static_prior_only,Bloomberg affiliate present in corpus
38,https://bloomberght.com,bloomberght.com,general_news,11360.0,0.00,0.00,747,27,tier_0_unknown,static_prior_only,Bloomberg affiliate present in corpus
39,https://cnbcafrica.com,cnbcafrica.com,market_wrap,1370.0,0.82,0.82,494,27,tier_8_9,static_prior_only,
40,https://actionnewsjax.com,actionnewsjax.com,general_news,980.0,0.00,0.00,294,27,tier_0_unknown,static_prior_only,
41,https://ctnewsjunkie.com,ctnewsjunkie.com,general_news,980.0,0.00,0.00,65,20,tier_0_unknown,static_prior_only,
42,https://thenewsjournal.net,thenewsjournal.net,general_news,940.0,0.00,0.00,30,19,tier_0_unknown,static_prior_only,
43,https://wsjm.com,wsjm.com,general_news,940.0,0.00,0.00,4,3,tier_0_unknown,static_prior_only,
44,https://morningstaronline.co.uk,morningstaronline.co.uk,general_news,925.0,0.00,0.00,381,24,tier_0_unknown,static_prior_only,
45,https://vernonmorningstar.com,vernonmorningstar.com,general_news,925.0,0.00,0.00,263,27,tier_0_unknown,static_prior_only,
46,https://southwalesargus.co.uk,southwalesargus.co.uk,general_news,875.0,0.00,0.00,1165,27,tier_0_unknown,static_prior_only,
47,https://shippingtribune.com,shippingtribune.com,general_news,860.0,0.00,0.00,104,21,tier_0_unknown,static_prior_only,
48,https://singletonargus.com.au,singletonargus.com.au,general_news,840.0,0.00,0.00,928,27,tier_0_unknown,static_prior_only,
49,https://thetelegraphandargus.co.uk,thetelegraphandargus.co.uk,general_news,840.0,0.00,0.00,856,27,tier_0_unknown,static_prior_only,
50,https://theargus.co.uk,theargus.co.uk,general_news,840.0,0.00,0.00,830,27,tier_0_unknown,static_prior_only,
51,https://macleayargus.com.au,macleayargus.com.au,general_news,840.0,0.00,0.00,606,27,tier_0_unknown,static_prior_only,
52,https://largus.fr,largus.fr,general_news,840.0,0.00,0.00,121,21,tier_0_unknown,static_prior_only,
53,https://timesargus.com,timesargus.com,general_news,840.0,0.00,0.00,118,25,tier_0_unknown,static_prior_only,
54,https://newsargus.com,newsargus.com,general_news,840.0,0.00,0.00,115,25,tier_0_unknown,static_prior_only,
55,https://argus-press.com,argus-press.com,general_news,840.0,0.00,0.00,32,22,tier_0_unknown,static_prior_only,
56,https://miningjournal.net,miningjournal.net,general_news,820.0,0.00,0.00,173,25,tier_0_unknown,static_prior_only,
57,https://mininggazette.com,mininggazette.com,general_news,820.0,0.00,0.00,143,25,tier_0_unknown,static_prior_only,
58,https://miningmx.com,miningmx.com,general_news,820.0,0.00,0.00,122,21,tier_0_unknown,static_prior_only,
59,https://mining-technology.com,mining-technology.com,general_news,820.0,0.00,0.00,110,20,tier_0_unknown,static_prior_only,
60,https://wausharaargus.com,wausharaargus.com,general_news,800.0,0.00,0.00,32,16,tier_0_unknown,static_prior_only,
61,https://jacksonprogress-argus.com,jacksonprogress-argus.com,general_news,800.0,0.00,0.00,31,17,tier_0_unknown,static_prior_only,
62,https://currentargus.com,currentargus.com,general_news,800.0,0.00,0.00,13,11,tier_0_unknown,static_prior_only,
63,https://condobolinargus.com.au,condobolinargus.com.au,general_news,800.0,0.00,0.00,12,9,tier_0_unknown,static_prior_only,
64,https://argusobserver.com,argusobserver.com,general_news,800.0,0.00,0.00,8,7,tier_0_unknown,static_prior_only,
65,https://argusred.com,argusred.com,general_news,800.0,0.00,0.00,1,1,tier_0_unknown,static_prior_only,
66,https://nikkeibp.co.jp,nikkeibp.co.jp,general_news,785.0,0.00,0.00,97,23,tier_0_unknown,static_prior_only,
67,https://juniorminingnetwork.com,juniorminingnetwork.com,general_news,780.0,0.00,0.00,372,15,tier_0_unknown,static_prior_only,
68,https://miningweekly.com,miningweekly.com,general_news,780.0,0.00,0.00,174,19,tier_0_unknown,static_prior_only,
69,https://canadianminingjournal.com,canadianminingjournal.com,general_news,780.0,0.00,0.00,108,19,tier_0_unknown,static_prior_only,
70,https://miningdigital.com,miningdigital.com,general_news,780.0,0.00,0.00,23,18,tier_0_unknown,static_prior_only,
71,https://azomining.com,azomining.com,general_news,780.0,0.00,0.00,22,15,tier_0_unknown,static_prior_only,
72,https://republicofmining.com,republicofmining.com,general_news,780.0,0.00,0.00,22,2,tier_0_unknown,static_prior_only,
73,https://nikkei.co.jp,nikkei.co.jp,general_news,745.0,0.00,0.00,20,13,tier_0_unknown,static_prior_only,
74,https://gizmodo.com,gizmodo.com,general_news,255.0,0.90,0.90,1398,27,tier_0_unknown,external_mbfc_only,
75,https://cnn.com,cnn.com,general_news,255.0,0.88,0.88,3192,27,tier_8_9,static_prior_only,
76,https://bbc.com,bbc.com,general_news,255.0,0.88,0.88,1353,27,tier_8_9,static_prior_only,
77,https://dailybreeze.com,dailybreeze.com,general_news,220.0,0.90,0.90,565,27,tier_0_unknown,external_mbfc_only,
78,https://therecord.com,therecord.com,general_news,220.0,0.90,0.90,486,27,tier_0_unknown,external_mbfc_only,
79,https://sookenewsmirror.com,sookenewsmirror.com,general_news,220.0,0.90,0.90,273,26,tier_0_unknown,external_mbfc_only,
80,https://techdirt.com,techdirt.com,general_news,220.0,0.90,0.90,251,26,tier_0_unknown,external_mbfc_only,
81,https://kxxv.com,kxxv.com,general_news,220.0,0.90,0.90,215,26,tier_0_unknown,external_mbfc_only,
82,https://parrysound.com,parrysound.com,general_news,220.0,0.90,0.90,128,26,tier_0_unknown,external_mbfc_only,
83,https://siouxlandnews.com,siouxlandnews.com,general_news,220.0,0.90,0.90,95,26,tier_0_unknown,external_mbfc_only,
84,https://rrr.org.au,rrr.org.au,general_news,220.0,0.90,0.90,44,25,tier_0_unknown,external_mbfc_only,
85,https://greenleft.org.au,greenleft.org.au,general_news,220.0,0.90,0.90,44,21,tier_0_unknown,external_mbfc_only,
86,https://links.org.au,links.org.au,general_news,220.0,0.90,0.90,42,23,tier_0_unknown,external_mbfc_only,
87,https://bbc.co.uk,bbc.co.uk,general_news,220.0,0.88,0.88,894,27,tier_8_9,static_prior_only,
88,https://npr.org,npr.org,general_news,220.0,0.88,0.88,575,27,tier_8_9,static_prior_only,
89,https://borsaitaliana.it,borsaitaliana.it,general_news,205.0,0.65,0.65,2207,25,tier_5_7,static_prior_only,
90,https://12newsnow.com,12newsnow.com,general_news,180.0,0.90,0.90,138,10,tier_0_unknown,external_mbfc_only,
91,https://cpa.org.au,cpa.org.au,general_news,180.0,0.90,0.90,86,7,tier_0_unknown,external_mbfc_only,
92,https://myeasternshoremd.com,myeasternshoremd.com,general_news,180.0,0.90,0.90,47,19,tier_0_unknown,external_mbfc_only,
93,https://amnesty.org.au,amnesty.org.au,general_news,180.0,0.90,0.90,34,16,tier_0_unknown,external_mbfc_only,
94,https://redwatch.org.au,redwatch.org.au,general_news,180.0,0.90,0.90,30,14,tier_0_unknown,external_mbfc_only,
95,https://joy.org.au,joy.org.au,general_news,180.0,0.90,0.90,25,13,tier_0_unknown,external_mbfc_only,
96,https://ravallirepublic.com,ravallirepublic.com,general_news,180.0,0.90,0.90,11,10,tier_0_unknown,external_mbfc_only,
97,https://somerset-kentucky.com,somerset-kentucky.com,general_news,180.0,0.90,0.90,11,8,tier_0_unknown,external_mbfc_only,
98,https://weatherforddemocrat.com,weatherforddemocrat.com,general_news,180.0,0.90,0.90,6,6,tier_0_unknown,external_mbfc_only,
99,https://thefiscaltimes.com,thefiscaltimes.com,general_news,180.0,0.90,0.90,6,6,tier_0_unknown,external_mbfc_only,
100,https://unicef.org.au,unicef.org.au,general_news,180.0,0.90,0.90,3,3,tier_0_unknown,external_mbfc_only,
