rank,source_url,domain,source_type,curated_priority,final_source_quality_score,external_reference_score,row_count,day_count,tier_label,score_basis,note
1,https://thomsonreuters.com,thomsonreuters.com,general_news,11995.0,0.00,0.00,3,2,tier_0_unknown,static_prior_only,Reuters proxy present in corpus
2,https://bloomberg.com,bloomberg.com,general_news,11120.0,1.00,1.00,443,15,tier_10,static_prior_only,Top-tier expected market source
3,https://wsj.com,wsj.com,market_wrap,11350.0,1.00,1.00,8,2,tier_10,static_prior_only,Top-tier expected market source
4,https://ecb.europa.eu,ecb.europa.eu,general_news,11120.0,1.00,1.00,213,21,tier_10,static_prior_only,Top-tier central bank source
5,https://federalreserve.gov,federalreserve.gov,general_news,11065.0,1.00,1.00,1,1,tier_10,static_prior_only,Top-tier central bank source
6,https://worldbank.org,worldbank.org,general_news,11050.0,1.00,1.00,26,9,tier_10,static_prior_only,
7,https://cnbc.com,cnbc.com,general_news,11095.0,0.88,0.88,1407,27,tier_8_9,static_prior_only,
8,https://nikkei.com,nikkei.com,general_news,10930.0,0.88,0.88,1494,27,tier_8_9,static_prior_only,
9,https://morningstar.com,morningstar.com,general_news,11025.0,0.88,0.88,864,27,tier_8_9,static_prior_only,
10,https://barrons.com,barrons.com,market_wrap,11220.0,0.82,0.82,1,1,tier_8_9,static_prior_only,"Expected market source, low observed volume"
11,https://moneycontrol.com,moneycontrol.com,market_wrap,11215.0,0.65,0.65,8598,27,tier_5_7,static_prior_only,
12,https://business-standard.com,business-standard.com,market_wrap,11165.0,0.65,0.65,915,27,tier_5_7,static_prior_only,
13,https://livemint.com,livemint.com,general_news,10935.0,0.65,0.65,3481,27,tier_5_7,static_prior_only,
14,https://benzinga.com,benzinga.com,general_news,10920.0,0.65,0.65,3854,27,tier_5_7,static_prior_only,
15,https://seekingalpha.com,seekingalpha.com,general_news,10905.0,0.65,0.65,1141,27,tier_5_7,static_prior_only,
16,https://financialpost.com,financialpost.com,general_news,10855.0,0.65,0.65,130,25,tier_5_7,static_prior_only,
